cost              time       defect num      diffSche
281608.02          805         48.10       0
276515.80          782         48.16       0
282949.39          603         48.93       0
281937.04          579         48.98       0
274854.99          857         49.10       0
280690.17          657         49.25       0
280870.37          512         49.42       0
274030.94          657         49.82       0
272439.92          803         50.50       0
275504.67          597         50.77       0
279722.22          527         51.22       0
271896.78          776         51.52       0
271376.24          657         51.61       0
270225.04          635         51.62       0
279002.92          568         51.64       0
273449.24          629         51.72       0
269946.00          607         51.90       0
273743.64          576         53.21       0
269315.11          757         53.31       0
279582.95          557         53.37       0
277600.17          574         53.42       0
270825.48          575         53.44       0
273876.74          546         53.53       0
269372.54          544         53.96       0
266681.11          607         54.36       0
266359.94          679         55.09       0
277910.66          512         55.18       0
274200.32          528         55.18       0
268914.22          587         55.51       0
265531.55          633         55.53       0
266813.37          533         55.72       0
265736.41          568         55.73       0
264184.63          594         56.14       0
270331.55          518         56.25       0
268544.64          520         56.47       0
264985.16          518         56.98       0
263980.65          753         57.00       0
274383.68          509         57.83       0
263244.39          536         57.96       0
263112.57          623         58.30       0
263104.02          681         58.65       0
262964.09          570         58.90       0
263175.53          552         58.91       0
262030.13          588         59.71       0
259453.44          583         59.78       0
265117.10          508         59.79       0
263526.27          490         60.08       0
261243.23          525         60.18       0
261384.66          484         61.01       0
261219.22          581         61.52       0
259920.48          570         61.67       0
261226.08          553         61.81       0
258613.84          693         62.28       0
259886.31          539         62.44       0
259340.85          612         62.57       0
258186.58          575         63.05       0
259330.48          555         63.47       0
260607.51          494         63.84       0
258343.94          535         63.92       0
258744.72          508         64.08       0
256266.25          669         64.96       0
273221.58          475         65.09       0
256845.11          577         65.17       0
256887.35          546         65.24       0
258277.42          516         66.14       0
257965.47          532         66.22       0
258829.93          493         66.25       0
256358.56          523         66.31       0
257090.81          504         66.71       0
255041.55          694         67.17       0
256259.50          540         67.33       0
255791.90          627         67.56       0
257545.22          481         67.64       0
256821.69          511         68.52       0
255718.05          583         68.69       0
255206.84          556         69.11       0
255996.76          498         69.12       0
259854.29          480         70.72       0
254970.15          536         70.75       0
255671.14          513         70.87       0
254218.63          558         71.87       0
254013.63          631         72.22       0
254099.08          521         72.23       0
254152.44          500         73.21       0
252790.35          555         73.33       0
253387.52          531         74.56       0
252467.24          593         74.71       0
256209.58          483         74.75       0
252814.11          482         75.20       0
252411.41          558         76.09       0
252765.89          525         77.74       0
251480.13          568         78.28       0
251371.77          537         78.33       0
251798.93          501         78.84       0
251130.42          636         79.26       0
250015.85          595         80.06       0
251300.46          548         80.56       0
251659.71          511         84.22       0
249534.84          563         86.58       0
247563.66          520         87.61       0
There are 1 solution(s)!
