cost              time       defect num      diffSche
318729.54          459         35.51       0
310899.00          436         36.40       0
307398.33          475         37.66       0
307723.49          443         37.75       0
311192.47          429         37.79       0
306149.53          454         37.89       0
303138.46          429         37.90       0
306921.10          420         38.19       0
306203.79          424         38.30       0
302518.87          434         38.45       0
302369.14          429         39.38       0
306211.50          414         39.50       0
302310.06          445         39.83       0
305719.38          420         39.84       0
300560.42          439         40.15       0
300806.46          431         40.32       0
300335.25          424         40.38       0
304812.81          411         40.52       0
303626.29          418         41.18       0
302571.05          407         41.36       0
300800.61          419         41.44       0
300200.60          430         41.58       0
297941.77          460         41.74       0
298526.14          446         41.78       0
298963.05          420         42.24       0
297216.27          433         42.25       0
299991.98          412         42.46       0
294688.17          438         42.46       0
298098.44          429         42.51       0
298177.23          424         43.30       0
301993.43          403         43.36       0
296655.52          427         43.46       0
298311.20          423         43.53       0
298302.86          415         43.60       0
296331.84          431         44.14       0
301594.17          408         44.31       0
296688.53          421         44.46       0
295792.58          411         44.52       0
295005.65          424         44.59       0
301008.04          403         44.89       0
296496.52          407         45.04       0
293969.39          430         45.34       0
294169.35          419         45.55       0
294209.54          413         45.97       0
295984.93          410         46.08       0
292994.90          436         46.13       0
292761.81          446         46.54       0
291875.26          420         46.74       0
292012.81          407         46.85       0
297072.10          406         47.29       0
295369.46          404         47.35       0
290898.35          438         47.38       0
291164.00          429         47.97       0
293622.58          404         48.45       0
290169.53          417         48.48       0
291687.52          402         48.64       0
291056.40          411         49.19       0
289868.95          413         49.36       0
289806.56          433         49.75       0
289668.47          441         49.75       0
289150.97          428         49.82       0
289928.53          406         49.93       0
287278.02          420         50.27       0
289828.12          415         50.34       0
288640.03          413         50.72       0
291033.81          402         50.96       0
287880.01          409         51.44       0
289567.21          407         52.02       0
287643.45          418         52.48       0
287786.75          413         52.62       0
286815.67          426         53.16       0
286558.74          448         53.20       0
286695.77          431         53.35       0
289292.14          402         53.35       0
286272.84          437         53.94       0
287679.43          410         54.11       0
285646.53          414         54.31       0
286074.48          404         54.68       0
285633.31          427         55.01       0
285279.79          441         56.11       0
285357.96          424         56.35       0
284729.73          419         56.38       0
284180.62          447         56.40       0
284077.73          431         56.60       0
287723.36          402         56.93       0
283458.22          411         57.09       0
283371.11          422         58.53       0
284890.44          410         58.70       0
283027.18          444         59.03       0
283366.44          436         59.15       0
282755.79          430         59.19       0
282661.26          415         59.24       0
286560.68          401         59.48       0
284356.84          403         59.49       0
282535.91          451         59.91       0
282793.67          411         61.77       0
282276.53          429         62.16       0
281004.78          444         63.45       0
282042.58          412         64.14       0
280591.31          421         64.50       0
There are 1 solution(s)!
