cost              time       defect num      diffSche
34507.56          4391         22.89       0
34382.55          4273         23.81       0
34297.20          3866         25.60       0
33872.71          4163         25.86       0
34214.57          3753         26.38       0
34188.60          3635         26.69       0
33223.22          3561         28.95       0
33732.38          3449         30.93       0
32922.27          3237         33.60       0
31704.49          4948         33.78       0
31847.50          3804         34.17       0
31676.99          4204         34.19       0
32621.42          3148         34.67       0
31771.31          3927         34.92       0
31343.00          4036         35.33       0
32140.63          3261         36.06       0
31947.64          3037         36.31       0
31647.36          3249         36.84       0
31245.25          3179         36.88       0
32370.79          2900         36.89       0
32359.09          2762         37.68       0
32365.53          2673         37.83       0
31076.15          3226         38.25       0
32024.74          2740         39.59       0
30930.79          3060         39.69       0
30291.04          3671         41.19       0
31992.78          2578         41.95       0
31764.87          2180         44.13       0
31879.83          2118         44.14       0
31103.15          2193         45.53       0
31469.00          2135         45.70       0
29697.71          3722         45.96       0
29641.70          2741         46.22       0
30885.61          2184         46.27       0
29448.37          3178         46.43       0
29605.29          3121         47.75       0
30667.66          2087         47.95       0
31130.82          1832         49.22       0
31197.96          1691         49.54       0
31146.46          1762         49.80       0
31189.65          1727         50.18       0
29562.06          2866         50.34       0
30869.07          1774         50.84       0
30016.74          2039         51.24       0
29304.35          2133         51.50       0
30033.69          1960         51.77       0
28614.18          3893         52.03       0
28715.12          3856         52.09       0
28701.38          2798         52.48       0
28579.79          3853         52.50       0
28507.16          3516         53.20       0
29654.57          1781         54.39       0
29383.68          1996         54.66       0
28920.17          2022         54.75       0
28221.89          3145         54.94       0
28500.26          2807         55.03       0
28199.59          3856         55.45       0
28235.11          2871         55.77       0
28161.50          4027         55.91       0
28166.02          2680         56.41       0
29213.74          1655         56.82       0
28185.45          2077         56.83       0
28436.39          2002         57.15       0
28421.85          1817         57.42       0
29060.67          1802         58.43       0
27702.58          2054         59.90       0
27637.11          3242         60.42       0
27678.90          2094         60.58       0
29061.10          1184         61.17       0
27775.39          1838         61.34       0
27784.10          1627         61.56       0
29117.41          1175         61.68       0
27562.24          1950         61.82       0
28980.04          1144         62.09       0
28393.54          1446         62.37       0
27685.49          1467         63.77       0
28504.16          1122         64.72       0
28346.55          1126         65.04       0
27309.45          1965         65.35       0
27566.69          1613         65.45       0
27122.25          1904         65.46       0
27108.91          2392         65.60       0
28061.99          995         66.42       0
28216.95          954         66.46       0
28115.41          975         66.55       0
28014.54          1002         66.93       0
28125.61          937         67.47       0
27460.39          1202         67.92       0
27727.19          1003         67.97       0
27691.27          1196         68.73       0
27976.59          782         68.74       0
26699.70          1844         72.10       0
26856.14          1241         72.52       0
26937.56          958         72.80       0
26540.21          1203         73.96       0
26747.07          817         74.12       0
26593.58          868         75.86       0
26583.57          778         76.16       0
26495.18          1289         76.69       0
26496.43          796         77.09       0
There are 1 solution(s)!
